country,views
US,10806780
GB,1338132
XX,1050605
DE,879286
CA,822878
JP,566449
FR,479325
AU,459854
IN,370386
NL,293125
RU,235243
MX,226716
IT,217636
CN,199184
ES,194763
BR,144575
PH,134343
SE,126166
PL,113083
EU,109736
CH,104411
AT,103840
IE,93439
CO,81917
NZ,81675
SG,79750
NO,78881
TR,75130
AR,71618
MY,71259
TW,70357
HK,70255
ID,67117
DK,66466
BE,65282
UA,63333
ZA,63010
VN,61653
KR,61354
CZ,60808
FI,60383
SA,52044
PK,49287
TH,48175
RO,47603
IL,46743
AE,40655
GR,40085
CL,38601
PT,35080
HU,34027
RS,31167
VE,29832
IR,29475
PE,26445
HR,25105
PR,25015
EG,24090
BG,23190
SK,19469
DO,18218
MA,16624
NG,16003
DZ,15934
SI,15164
EC,13986
LT,13961
EE,13242
KZ,12913
TN,12065
BD,11661
LB,11544
CR,11470
A2,11048
KW,10953
A1,10514
KE,10354
GT,10335
BY,10106
QA,9612
LV,9235
HN,8875
LK,8765
MK,8389
PA,8152
JM,8152
BA,7989
UY,7933
IS,7745
GE,7428
JO,7098
LU,7048
AL,6541
SV,6520
GH,6474
TT,6467
IQ,6376
MD,6176
BO,6123
AP,6107
NI,5458
MT,5224
OM,5204
CY,5190
AZ,5034
BH,4940
KH,4771
PY,4473
TZ,4126
MU,3985
NP,3928
AM,3811
RE,3317
BS,3162
GU,3005
MN,2944
MO,2922
CI,2828
BB,2798
UG,2491
SN,2462
ET,2441
BN,2285
UZ,2118
MM,2108
ZW,1992
ME,1976
CU,1937
LY,1927
PS,1844
JE,1746
IM,1696
KG,1692
GP,1628
SD,1581
CM,1571
HT,1543
BW,1481
VI,1427
YE,1366
NA,1335
AO,1310
ZM,1309
MV,1301
MG,1281
GG,1238
CW,1222
FJ,1183
AG,1159
BM,1083
MQ,1079
BZ,1028
LA,1001
GY,969
AW,965
AF,953
MZ,914
KY,906
PF,796
CD,786
RW,783
PG,769
NC,768
SR,738
FO,727
BF,606
GF,591
ML,564
GA,555
GI,542
BJ,520
GD,500
MC,494
TJ,493
LI,490
LR,479
DJ,474
MP,456
MW,444
AS,400
GN,399
SY,388
TM,385
TG,360
AX,346
BT,338
MR,323
LC,323
KN,300
TC,292
AD,290
GM,255
YT,254
NE,243
CG,241
CV,235
SC,232
SZ,216
SL,207
BI,206
DM,203
GL,192
LS,187
VU,174
VC,164
SO,142
VG,130
SX,130
BQ,121
FM,121
MH,120
SB,103
CK,102
GQ,99
TO,92
WS,86
SM,81
TD,77
AI,73
TL,69
MF,58
ER,47
VA,47
PW,42
KM,38
KI,32
PM,31
FK,28
CF,28
ST,21
IO,19
MS,12
KP,12
WF,10
SH,9
TV,5
GW,4
NU,2
NR,1
